id	filename	md5	size	state
0c9aba87-406f-4789-9275-e1d25bb3aea7	0c9aba87-406f-4789-9275-e1d25bb3aea7/72fffe3e-d4fb-4862-ba01-e91289ed94ef.rna_seq.augmented_star_gene_counts.tsv	80c4a70f25d48331016cb6525826ee4f	4240743	validated
0e0dcae8-4cc2-4ba5-bc0d-07c9dbd0e5a2	0e0dcae8-4cc2-4ba5-bc0d-07c9dbd0e5a2/d94cd170-9dff-4b44-a7a8-6d1c277b0f8b.rna_seq.augmented_star_gene_counts.tsv	2f3c117327b4c94606017ee3f0d75c44	4241498	validated
19a8fe15-9f07-4243-a2a4-3e093f013dcc	19a8fe15-9f07-4243-a2a4-3e093f013dcc/3d6663aa-cf98-48ea-9c49-fa72a203948c.rna_seq.augmented_star_gene_counts.tsv	671b311683ba73c374d5435c0cd5adae	4239310	validated
45568022-73ee-46d6-be87-ee925e56946a	45568022-73ee-46d6-be87-ee925e56946a/ddeb9d85-4c73-4605-9125-07d68f329ce3.rna_seq.augmented_star_gene_counts.tsv	73b41058bb0f67feeb80521ee3c40d5c	4233658	validated
5bf5af0a-48e0-458a-ad88-4be2a8695da5	5bf5af0a-48e0-458a-ad88-4be2a8695da5/2f736328-bdce-40df-a2aa-54502196ace0.rna_seq.augmented_star_gene_counts.tsv	f22c9990d9654f26dd992594185dde92	4197190	validated
710df862-d28b-4596-926d-dbab3e89edab	710df862-d28b-4596-926d-dbab3e89edab/059e7de0-52e6-409b-a511-c3f641da63e3.rna_seq.augmented_star_gene_counts.tsv	4163e861fa86bcf1269a01d1c51f3d53	4204142	validated
7a48e51b-adea-4f9b-853b-acef7b644859	7a48e51b-adea-4f9b-853b-acef7b644859/de0ac50b-034d-4d50-9438-29e74282205b.rna_seq.augmented_star_gene_counts.tsv	218895ada73f77ac75cd5ac20fd1e416	4205764	validated
b580e39d-4db6-40bd-bda9-1b0aa633e7c6	b580e39d-4db6-40bd-bda9-1b0aa633e7c6/bdde6cf8-eb8c-4496-8cc1-85690aeb691a.rna_seq.augmented_star_gene_counts.tsv	fb8f9f6a82eb466f92a4b40d61066771	4227971	validated
ec65eea2-ec13-475f-8593-8d8f6b04432c	ec65eea2-ec13-475f-8593-8d8f6b04432c/b88682b7-92b9-41fc-b645-bfd576e6e23f.rna_seq.augmented_star_gene_counts.tsv	9eaf92a969b7271f1c051aa72bce7930	4201866	validated
f168aeeb-51af-4c6f-bc35-9b3326da8ad6	f168aeeb-51af-4c6f-bc35-9b3326da8ad6/04d8b09b-f8d9-4c88-bf4c-920d5c5577b5.rna_seq.augmented_star_gene_counts.tsv	493d49d520b428c71c1dbd7f708d71c8	4235355	validated
